record_id,timestamp_alert,kafka_transit_ms,inference_ms,end2end_ms,confidence
REC_194,2026-05-10T16:43:05.743624,0.00,15.85,15.85,0.9492
REC_196,2026-05-10T16:43:05.838298,0.00,9.16,9.16,0.9997
REC_197,2026-05-10T16:43:05.899302,0.00,19.23,19.23,0.9499
REC_198,2026-05-10T16:43:05.947061,0.00,15.92,15.92,0.9997
REC_199,2026-05-10T16:43:06.002546,0.00,20.52,20.52,0.9192
REC_200,2026-05-10T16:43:06.040359,0.00,7.46,7.46,0.9929
REC_201,2026-05-10T16:43:06.103679,0.00,20.20,20.20,0.9529
REC_202,2026-05-10T16:43:06.158759,0.00,21.33,24.59,0.9508
REC_203,2026-05-10T16:43:06.206046,3.41,17.70,21.11,0.9895
REC_204,2026-05-10T16:43:06.260033,3.55,20.71,24.26,0.9457
REC_205,2026-05-10T16:43:06.311211,3.65,20.77,24.42,0.7264
REC_206,2026-05-10T16:43:06.359419,4.01,18.05,22.06,0.7393
REC_207,2026-05-10T16:43:06.405038,3.01,13.70,16.71,0.9888
REC_208,2026-05-10T16:43:06.458953,3.01,16.09,20.10,0.9597
REC_209,2026-05-10T16:43:06.511976,3.01,18.48,22.49,0.9561
REC_210,2026-05-10T16:43:06.560971,3.05,17.26,20.31,0.9440
REC_211,2026-05-10T16:43:06.615868,3.39,20.91,24.30,0.9828
REC_212,2026-05-10T16:43:06.666855,4.05,20.46,24.51,0.9842
REC_213,2026-05-10T16:43:06.713100,0.00,20.03,20.03,0.9997
REC_214,2026-05-10T16:43:06.758584,3.03,11.02,14.05,0.9240
REC_215,2026-05-10T16:43:06.806701,0.00,11.28,11.28,0.7877
REC_218,2026-05-10T16:43:06.975392,0.00,27.32,27.32,1.0000
REC_219,2026-05-10T16:43:07.019965,0.00,21.10,21.10,0.9680
REC_220,2026-05-10T16:43:07.073533,3.57,20.25,23.82,0.9709
REC_221,2026-05-10T16:43:07.121644,3.68,17.29,20.97,0.9865
REC_222,2026-05-10T16:43:07.172316,2.96,17.01,21.00,0.9965
REC_223,2026-05-10T16:43:07.223902,3.52,18.00,21.52,0.9875
REC_224,2026-05-10T16:43:07.273803,3.27,16.73,21.02,0.9698
REC_225,2026-05-10T16:43:07.323755,3.12,16.87,19.98,0.9694
REC_226,2026-05-10T16:43:07.374033,3.05,15.74,18.78,0.9741
REC_227,2026-05-10T16:43:07.426082,3.06,16.90,19.95,0.9489
REC_228,2026-05-10T16:43:07.477875,3.01,17.93,20.94,0.7032
REC_229,2026-05-10T16:43:07.525671,3.05,14.96,18.01,0.9637
REC_230,2026-05-10T16:43:07.573503,0.00,15.34,15.34,0.9775
REC_231,2026-05-10T16:43:07.628974,0.00,19.79,19.79,0.7434
REC_232,2026-05-10T16:43:07.669523,3.01,6.86,9.87,0.9829
REC_234,2026-05-10T16:43:07.790168,3.49,25.47,28.96,0.9596
REC_237,2026-05-10T16:43:07.931014,2.13,15.08,17.22,0.9500
REC_238,2026-05-10T16:43:07.985972,0.00,21.21,21.21,0.9930
REC_239,2026-05-10T16:43:08.026599,0.00,11.35,11.35,0.9537
REC_240,2026-05-10T16:43:08.087362,3.01,18.44,21.44,0.7440
REC_241,2026-05-10T16:43:08.152366,3.69,32.08,35.77,0.9718
REC_242,2026-05-10T16:43:08.187815,4.02,16.10,20.12,0.9963
REC_243,2026-05-10T16:43:08.242748,3.72,20.36,24.08,0.9145
REC_244,2026-05-10T16:43:08.290023,3.06,17.78,20.84,0.9702
REC_245,2026-05-10T16:43:08.339627,2.70,16.63,19.33,0.9914
REC_246,2026-05-10T16:43:08.395165,5.02,18.55,23.57,0.9963
REC_247,2026-05-10T16:43:08.437556,0.00,15.34,15.34,0.9882
REC_248,2026-05-10T16:43:08.507070,4.84,29.35,34.19,0.9644
REC_249,2026-05-10T16:43:08.549335,3.01,21.83,25.85,0.9621
REC_251,2026-05-10T16:43:08.645507,4.01,16.29,20.30,0.9568
REC_252,2026-05-10T16:43:08.696650,3.01,17.51,20.51,0.9736
REC_253,2026-05-10T16:43:08.747960,3.01,18.00,21.01,0.9965
REC_254,2026-05-10T16:43:08.797996,3.05,16.25,20.26,0.9962
REC_255,2026-05-10T16:43:08.848952,3.05,17.22,20.27,0.9869
REC_256,2026-05-10T16:43:08.898261,0.00,18.61,18.61,0.9916
REC_257,2026-05-10T16:43:08.945982,3.21,12.00,15.20,0.9964
REC_258,2026-05-10T16:43:08.993966,0.00,12.56,12.55,0.9896
REC_259,2026-05-10T16:43:09.051275,0.00,19.05,19.05,0.9493
REC_260,2026-05-10T16:43:09.102466,0.00,19.36,19.36,0.9896
REC_261,2026-05-10T16:43:09.156986,0.00,23.17,23.17,0.9621
REC_262,2026-05-10T16:43:09.212597,4.21,23.85,28.07,0.8265
REC_263,2026-05-10T16:43:09.256211,2.60,18.21,20.81,0.9820
REC_264,2026-05-10T16:43:09.290640,2.57,1.79,4.36,0.8353
REC_265,2026-05-10T16:43:09.354634,1.05,16.06,17.10,0.9470
REC_266,2026-05-10T16:43:09.400333,0.57,11.40,11.98,0.9691
REC_267,2026-05-10T16:43:09.462002,0.00,22.53,22.53,0.8905
REC_268,2026-05-10T16:43:09.509297,3.01,16.00,19.02,0.9856
REC_269,2026-05-10T16:43:09.557000,0.00,16.00,16.00,0.9470
REC_270,2026-05-10T16:43:09.603086,3.59,7.97,11.56,0.9470
REC_271,2026-05-10T16:43:09.651489,0.00,8.98,8.98,0.9644
REC_272,2026-05-10T16:43:09.712948,2.17,16.37,19.55,0.8453
REC_273,2026-05-10T16:43:09.763811,3.05,16.18,19.23,0.9522
REC_274,2026-05-10T16:43:09.816052,2.42,17.00,20.42,1.0000
REC_275,2026-05-10T16:43:09.853748,2.12,5.26,7.38,0.9292
REC_276,2026-05-10T16:43:09.917939,0.00,21.00,21.00,0.9631
REC_277,2026-05-10T16:43:09.962389,0.00,14.69,14.69,1.0000
REC_278,2026-05-10T16:43:10.039816,0.00,41.26,41.26,0.9643
REC_279,2026-05-10T16:43:10.071581,4.89,17.64,22.53,1.0000
REC_280,2026-05-10T16:43:10.120603,4.01,15.87,20.43,0.8993
REC_281,2026-05-10T16:43:10.168802,3.47,13.74,17.77,0.9912
REC_282,2026-05-10T16:43:10.219689,0.00,17.43,17.43,0.9867
REC_283,2026-05-10T16:43:10.268034,4.02,10.19,15.21,0.9999
REC_284,2026-05-10T16:43:10.317875,0.00,14.12,14.12,0.8867
REC_285,2026-05-10T16:43:10.368443,2.53,10.00,13.53,0.9900
REC_286,2026-05-10T16:43:10.419028,0.00,13.75,13.75,0.7778
REC_287,2026-05-10T16:43:10.476020,3.06,17.00,20.06,0.7749
REC_288,2026-05-10T16:43:10.527245,2.56,16.76,20.35,0.9845
REC_289,2026-05-10T16:43:10.576220,3.05,15.54,18.59,0.9618
REC_290,2026-05-10T16:43:10.629230,3.01,17.40,20.41,0.9522
REC_291,2026-05-10T16:43:10.679595,3.01,17.00,20.01,0.9798
REC_292,2026-05-10T16:43:10.715380,0.00,5.32,5.32,0.9744
REC_293,2026-05-10T16:43:10.780684,0.00,19.53,19.53,0.9833
REC_295,2026-05-10T16:43:10.869603,0.00,6.45,6.45,0.9996
REC_296,2026-05-10T16:43:10.931101,1.36,16.04,17.40,0.9564
REC_297,2026-05-10T16:43:10.978960,0.00,14.68,14.68,0.9944
REC_298,2026-05-10T16:43:11.024608,3.01,6.00,9.01,0.9562
REC_299,2026-05-10T16:43:11.089100,0.00,22.72,22.72,0.8507
REC_300,2026-05-10T16:43:11.133348,0.00,12.22,15.96,0.9880
REC_301,2026-05-10T16:43:11.182051,0.00,14.06,14.06,0.7683
REC_302,2026-05-10T16:43:11.237835,3.05,16.19,19.23,0.8659
REC_303,2026-05-10T16:43:11.275399,3.01,3.00,6.01,0.9987
REC_304,2026-05-10T16:43:11.339117,2.91,15.85,18.75,0.9703
REC_305,2026-05-10T16:43:11.384773,0.00,13.88,13.88,0.9979
REC_307,2026-05-10T16:43:11.477970,0.00,4.32,4.32,0.8867
REC_309,2026-05-10T16:43:11.587578,0.00,12.26,12.26,0.9812
REC_310,2026-05-10T16:43:11.635735,0.00,9.04,9.04,0.7670
REC_311,2026-05-10T16:43:11.696255,3.01,15.73,18.74,0.9128
REC_312,2026-05-10T16:43:11.744102,0.00,15.84,15.84,0.9968
REC_313,2026-05-10T16:43:11.789965,4.05,7.00,11.05,0.9843
REC_314,2026-05-10T16:43:11.837349,0.00,7.49,7.50,0.8988
REC_315,2026-05-10T16:43:11.899047,3.01,15.31,18.32,0.7341
REC_316,2026-05-10T16:43:11.954486,0.00,22.83,22.83,0.9720
REC_317,2026-05-10T16:43:12.002890,3.23,17.27,20.50,0.9799
REC_318,2026-05-10T16:43:12.053345,3.26,16.78,20.03,0.8632
REC_319,2026-05-10T16:43:12.103469,3.23,16.11,19.34,0.8506
REC_320,2026-05-10T16:43:12.146688,0.00,11.56,11.56,0.9701
REC_322,2026-05-10T16:43:12.258059,3.01,18.00,21.01,0.9514
REC_326,2026-05-10T16:43:12.463569,4.61,17.56,23.17,0.9741
REC_327,2026-05-10T16:43:12.518948,7.78,18.48,27.74,0.9957
REC_328,2026-05-10T16:43:12.565479,0.00,22.65,22.65,0.8398
REC_329,2026-05-10T16:43:12.617284,0.00,23.77,23.77,0.9706
REC_330,2026-05-10T16:43:12.666095,6.03,15.77,21.80,0.6623
REC_331,2026-05-10T16:43:12.717302,3.06,18.07,21.71,0.9793
REC_332,2026-05-10T16:43:12.767181,3.15,17.53,20.68,0.8911
REC_333,2026-05-10T16:43:12.816863,3.01,16.52,19.53,0.7878
REC_334,2026-05-10T16:43:12.868038,3.05,16.96,20.01,0.9590
REC_335,2026-05-10T16:43:12.922351,3.01,19.34,23.35,0.9792
REC_336,2026-05-10T16:43:12.970899,4.01,17.00,21.01,0.9960
REC_337,2026-05-10T16:43:13.019871,0.00,19.17,19.17,0.7375
REC_338,2026-05-10T16:43:13.063981,0.00,12.34,12.34,0.8911
REC_339,2026-05-10T16:43:13.112267,0.00,9.69,9.69,0.7059
REC_340,2026-05-10T16:43:13.159981,0.00,6.44,6.45,0.9702
REC_341,2026-05-10T16:43:13.212519,0.00,8.28,8.28,0.9710
REC_342,2026-05-10T16:43:13.260140,0.00,4.86,4.86,0.8911
REC_343,2026-05-10T16:43:13.322146,0.00,15.99,15.99,0.9905
REC_344,2026-05-10T16:43:13.369919,0.00,12.92,12.92,0.9959
REC_345,2026-05-10T16:43:13.415758,2.76,4.83,7.58,0.9019
REC_346,2026-05-10T16:43:13.489440,0.00,30.45,30.45,0.7375
REC_347,2026-05-10T16:43:13.530067,1.74,18.67,20.41,0.6361
REC_348,2026-05-10T16:43:13.571940,0.00,11.19,11.19,0.9960
REC_349,2026-05-10T16:43:13.618563,3.05,4.00,7.05,0.7375
REC_350,2026-05-10T16:43:13.682617,0.00,20.08,20.08,0.9792
REC_352,2026-05-10T16:43:13.775745,0.00,11.52,11.52,0.8911
REC_353,2026-05-10T16:43:13.835163,3.05,17.18,20.24,0.9701
REC_354,2026-05-10T16:43:13.884779,3.06,15.88,18.94,0.9843
REC_355,2026-05-10T16:43:13.936881,3.01,17.26,20.27,0.9793
REC_356,2026-05-10T16:43:13.989487,3.14,17.97,22.11,0.9181
REC_357,2026-05-10T16:43:14.038974,3.03,17.44,20.47,0.9499
REC_358,2026-05-10T16:43:14.082846,0.00,13.70,13.70,0.9027
REC_359,2026-05-10T16:43:14.141723,0.00,21.82,21.82,0.9552
REC_360,2026-05-10T16:43:14.182804,0.00,11.74,11.74,0.7892
REC_361,2026-05-10T16:43:14.232148,0.00,10.65,10.65,0.8805
REC_362,2026-05-10T16:43:14.281719,0.00,9.26,9.26,0.9815
REC_363,2026-05-10T16:43:14.345519,3.05,19.18,22.23,0.9701
REC_365,2026-05-10T16:43:14.446881,3.71,17.92,21.63,0.9815
REC_366,2026-05-10T16:43:14.493717,2.05,15.73,17.78,0.9766
REC_367,2026-05-10T16:43:14.565656,0.00,38.98,38.98,0.9253
REC_368,2026-05-10T16:43:14.609265,5.02,26.73,31.75,0.9502
REC_370,2026-05-10T16:43:14.697757,3.47,14.88,18.90,0.9552
REC_372,2026-05-10T16:43:14.821121,0.00,39.74,39.74,0.8061
REC_373,2026-05-10T16:43:14.837750,2.25,2.00,5.25,0.6849
REC_374,2026-05-10T16:43:14.952803,6.97,62.80,69.77,0.9931
REC_376,2026-05-10T16:43:14.997803,3.52,9.00,12.52,0.9977
REC_377,2026-05-10T16:43:15.087209,9.58,41.83,51.42,0.9867
REC_378,2026-05-10T16:43:15.093297,0.00,6.09,6.09,0.9331
REC_379,2026-05-10T16:43:15.148316,4.30,5.70,10.00,0.9799
REC_380,2026-05-10T16:43:15.198076,3.05,5.96,9.01,0.9941
REC_381,2026-05-10T16:43:15.260790,3.01,16.99,21.00,0.7476
REC_382,2026-05-10T16:43:15.305077,3.01,11.41,14.42,0.9837
REC_383,2026-05-10T16:43:15.349021,0.00,7.16,7.16,0.7373
REC_384,2026-05-10T16:43:15.417639,6.37,18.77,25.14,0.9799
REC_385,2026-05-10T16:43:15.467038,2.89,19.63,23.53,0.9829
REC_386,2026-05-10T16:43:15.514962,2.41,18.08,20.49,0.9830
REC_387,2026-05-10T16:43:15.563468,1.83,16.73,18.56,0.9928
REC_388,2026-05-10T16:43:15.620931,0.80,24.02,24.82,0.9820
REC_389,2026-05-10T16:43:15.688074,6.03,29.79,35.83,0.9821
REC_390,2026-05-10T16:43:15.714896,0.00,11.09,11.09,0.9460
REC_392,2026-05-10T16:43:15.829366,0.00,22.51,22.51,0.9762
REC_393,2026-05-10T16:43:15.879156,3.59,17.94,21.53,0.9802
REC_394,2026-05-10T16:43:15.930407,3.13,18.89,22.01,0.9929
REC_395,2026-05-10T16:43:15.979831,3.01,16.97,20.41,0.6169
REC_396,2026-05-10T16:43:16.030291,3.25,16.94,20.20,0.9169
REC_397,2026-05-10T16:43:16.081756,3.03,17.81,20.84,0.9824
REC_398,2026-05-10T16:43:16.133137,3.62,17.80,21.42,0.9850
REC_399,2026-05-10T16:43:16.184468,3.65,18.54,22.19,0.6981
REC_400,2026-05-10T16:43:16.233099,2.78,17.20,19.98,0.9727
REC_401,2026-05-10T16:43:16.285247,3.19,17.82,21.01,0.9844
